station,year,day,hour,filename
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551701174_e20230551703547_c20230551703581.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551706174_e20230551708547_c20230551708572.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551711174_e20230551713547_c20230551713578.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551716174_e20230551718547_c20230551718579.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551721174_e20230551723547_c20230551723578.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551726174_e20230551728547_c20230551728578.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551731174_e20230551733547_c20230551733577.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551736174_e20230551738547_c20230551738577.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551741174_e20230551743547_c20230551743581.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551746174_e20230551748547_c20230551748580.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551751174_e20230551753547_c20230551753580.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C05_G18_s20230551756174_e20230551758547_c20230551758578.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551701174_e20230551703553_c20230551703569.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551706174_e20230551708553_c20230551708582.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551711174_e20230551713553_c20230551713585.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551716174_e20230551718553_c20230551718585.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551721174_e20230551723553_c20230551723583.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551726174_e20230551728553_c20230551728582.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551731174_e20230551733553_c20230551733585.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551736174_e20230551738553_c20230551738583.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551741174_e20230551743553_c20230551743570.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551746174_e20230551748553_c20230551748569.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551751174_e20230551753553_c20230551753570.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C06_G18_s20230551756174_e20230551758553_c20230551758571.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551701174_e20230551703558_c20230551703583.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551706174_e20230551708558_c20230551709007.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551711174_e20230551713558_c20230551714012.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551716174_e20230551718558_c20230551719006.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551721174_e20230551723558_c20230551724004.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551726174_e20230551728558_c20230551729001.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551731174_e20230551733558_c20230551734004.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551736174_e20230551738559_c20230551738599.nc
