year,month,day_of_year,station_id,filename
2023,2,24,DAN1,DAN120230224_000352_V06
2023,2,24,DAN1,DAN120230224_001051_V06
2023,2,24,DAN1,DAN120230224_001735_V06
2023,2,24,DAN1,DAN120230224_002540_V06
2023,2,24,DAN1,DAN120230224_003239_V06
2023,2,24,DAN1,DAN120230224_003934_V06
2023,2,24,DAN1,DAN120230224_004629_V06
2023,2,24,DAN1,DAN120230224_005315_V06
2023,2,24,DAN1,DAN120230224_010006_V06
2023,2,24,DAN1,DAN120230224_010006_V06_MDM
2023,2,24,DAN1,DAN120230224_010707_V06
2023,2,24,DAN1,DAN120230224_011353_V06
2023,2,24,DAN1,DAN120230224_012058_V06
2023,2,24,DAN1,DAN120230224_012743_V06
2023,2,24,DAN1,DAN120230224_013448_V06
2023,2,24,DAN1,DAN120230224_014147_V06
2023,2,24,DAN1,DAN120230224_014838_V06
2023,2,24,DAN1,DAN120230224_015528_V06
2023,2,24,DAN1,DAN120230224_015528_V06_MDM
2023,2,24,DAN1,DAN120230224_020228_V06
2023,2,24,DAN1,DAN120230224_020917_V06
2023,2,24,DAN1,DAN120230224_021603_V06
2023,2,24,DAN1,DAN120230224_022249_V06
2023,2,24,DAN1,DAN120230224_022939_V06
2023,2,24,DAN1,DAN120230224_023629_V06
2023,2,24,DAN1,DAN120230224_024315_V06
2023,2,24,DAN1,DAN120230224_025006_V06
2023,2,24,DAN1,DAN120230224_025706_V06
2023,2,24,DAN1,DAN120230224_025706_V06_MDM
2023,2,24,DAN1,DAN120230224_030351_V06
2023,2,24,DAN1,DAN120230224_031045_V06
2023,2,24,DAN1,DAN120230224_031736_V06
2023,2,24,DAN1,DAN120230224_032422_V06
2023,2,24,DAN1,DAN120230224_033121_V06
2023,2,24,DAN1,DAN120230224_033820_V06
2023,2,24,DAN1,DAN120230224_034510_V06
2023,2,24,DAN1,DAN120230224_035201_V06
2023,2,24,DAN1,DAN120230224_035859_V06
2023,2,24,DAN1,DAN120230224_035859_V06_MDM
2023,2,24,DAN1,DAN120230224_040553_V06
2023,2,24,DAN1,DAN120230224_041239_V06
2023,2,24,DAN1,DAN120230224_041925_V06
2023,2,24,DAN1,DAN120230224_042624_V06
2023,2,24,DAN1,DAN120230224_043311_V06
2023,2,24,DAN1,DAN120230224_044018_V06
2023,2,24,DAN1,DAN120230224_044708_V06
2023,2,24,DAN1,DAN120230224_045354_V06
2023,2,24,DAN1,DAN120230224_045354_V06_MDM
2023,2,24,DAN1,DAN120230224_050040_V06
2023,2,24,DAN1,DAN120230224_050731_V06
2023,2,24,DAN1,DAN120230224_051421_V06
2023,2,24,DAN1,DAN120230224_052110_V06
2023,2,24,DAN1,DAN120230224_052810_V06
2023,2,24,DAN1,DAN120230224_053509_V06
2023,2,24,DAN1,DAN120230224_054208_V06
2023,2,24,DAN1,DAN120230224_054908_V06
2023,2,24,DAN1,DAN120230224_055613_V06
2023,2,24,DAN1,DAN120230224_055613_V06_MDM
2023,2,24,DAN1,DAN120230224_060319_V06
2023,2,24,DAN1,DAN120230224_061019_V06
2023,2,24,DAN1,DAN120230224_061726_V06
2023,2,24,DAN1,DAN120230224_062432_V06
2023,2,24,DAN1,DAN120230224_063138_V06
2023,2,24,DAN1,DAN120230224_063843_V06
2023,2,24,DAN1,DAN120230224_064550_V06
2023,2,24,DAN1,DAN120230224_065256_V06
2023,2,24,DAN1,DAN120230224_065956_V06
2023,2,24,DAN1,DAN120230224_065956_V06_MDM
2023,2,24,DAN1,DAN120230224_070654_V06
2023,2,24,DAN1,DAN120230224_071401_V06
2023,2,24,DAN1,DAN120230224_072107_V06
2023,2,24,DAN1,DAN120230224_072813_V06
2023,2,24,DAN1,DAN120230224_073512_V06
2023,2,24,DAN1,DAN120230224_074218_V06
2023,2,24,DAN1,DAN120230224_074924_V06
2023,2,24,DAN1,DAN120230224_075631_V06
2023,2,24,DAN1,DAN120230224_075631_V06_MDM
2023,2,24,DAN1,DAN120230224_080331_V06
2023,2,24,DAN1,DAN120230224_081031_V06
2023,2,24,DAN1,DAN120230224_081737_V06
2023,2,24,DAN1,DAN120230224_082548_V06
2023,2,24,DAN1,DAN120230224_083247_V06
2023,2,24,DAN1,DAN120230224_083952_V06
2023,2,24,DAN1,DAN120230224_084700_V06
2023,2,24,DAN1,DAN120230224_085407_V06
2023,2,24,DAN1,DAN120230224_085407_V06_MDM
2023,2,24,DAN1,DAN120230224_090113_V06
2023,2,24,DAN1,DAN120230224_090820_V06
2023,2,24,DAN1,DAN120230224_091526_V06
2023,2,24,DAN1,DAN120230224_092233_V06
2023,2,24,DAN1,DAN120230224_092932_V06
2023,2,24,DAN1,DAN120230224_093631_V06
2023,2,24,DAN1,DAN120230224_094332_V06
2023,2,24,DAN1,DAN120230224_095032_V06
2023,2,24,DAN1,DAN120230224_095739_V06
2023,2,24,DAN1,DAN120230224_095739_V06_MDM
2023,2,24,DAN1,DAN120230224_100440_V06
2023,2,24,DAN1,DAN120230224_101129_V06
2023,2,24,DAN1,DAN120230224_101816_V06
2023,2,24,DAN1,DAN120230224_102516_V06
2023,2,24,DAN1,DAN120230224_103207_V06
